Auction,Color,IsBadBuy,MMRCurrentAuctionAveragePrice,Size,TopThreeAmericanName,VehBCost,VehicleAge,VehOdo,WarrantyCost,WheelType
ADESA,WHITE,No,2871,LARGE TRUCK,FORD,5300,8,75419,869,Alloy
ADESA,GOLD,Yes,1840,VAN,FORD,3600,8,82944,2322,Alloy
ADESA,RED,No,8931,SMALL SUV,CHRYSLER,7500,4,57338,588,Alloy
ADESA,GOLD,No,8320,CROSSOVER,FORD,8500,5,55909,1169,Alloy
ADESA,GREY,No,11520,LARGE TRUCK,FORD,10100,5,86702,853,Alloy
ADESA,SILVER,No,2659,COMPACT,GM,4100,7,73810,1455,Covers
ADESA,RED,No,4645,VAN,FORD,5600,5,85003,1633,Covers
ADESA,SILVER,No,4352,LARGE,GM,5900,5,88991,2152,Covers
ADESA,SILVER,No,5142,MEDIUM,GM,6600,5,80077,1373,Alloy
ADESA,MAROON,No,9983,MEDIUM,OTHER,7500,3,71952,1272,Alloy
ADESA,WHITE,No,4165,MEDIUM,OTHER,6200,4,23881,462,Covers
ADESA,GOLD,No,2422,VAN,GM,5100,9,83238,5392,Alloy
ADESA,SILVER,No,6603,MEDIUM,OTHER,7300,3,68165,728,Covers
ADESA,GREEN,No,6149,LARGE,FORD,6600,5,93346,1774,Alloy
ADESA,SILVER,Yes,6057,MEDIUM,CHRYSLER,6400,3,73963,1389,Covers
ADESA,SILVER,No,8113,SPECIALTY,CHRYSLER,10400,5,64839,1215,Alloy
ADESA,RED,No,6702,MEDIUM,GM,7100,4,63151,923,Covers
ADESA,MAROON,No,3320,MEDIUM,GM,4700,7,92782,1209,Alloy
ADESA,GREY,No,7708,SPECIALTY,CHRYSLER,9400,5,72592,1389,Alloy
ADESA,WHITE,No,2700,MEDIUM,GM,3900,8,88667,2712,Alloy
ADESA,RED,No,7860,MEDIUM,CHRYSLER,7500,2,50644,754,Covers
ADESA,SILVER,No,7785,LARGE,GM,8300,3,58384,1500,Alloy
ADESA,BLUE,No,8091,LARGE SUV,FORD,9500,6,80906,1113,Alloy
ADESA,WHITE,No,6793,SMALL SUV,OTHER,7935,5,59801,754,Alloy
ADESA,WHITE,No,6741,MEDIUM SUV,FORD,9335,6,77178,1740,unkwnWheel
ADESA,GREY,No,3895,SMALL SUV,FORD,7100,8,79030,1220,unkwnWheel
ADESA,SILVER,Yes,6554,MEDIUM,OTHER,6700,4,61315,728,Alloy
ADESA,SILVER,No,2988,MEDIUM,GM,4700,9,92792,2651,Alloy
ADESA,GREY,No,5396,SPORTS,FORD,6600,6,82271,853,Alloy
ADESA,RED,Yes,4775,MEDIUM,CHRYSLER,6150,4,66568,1215,Covers
ADESA,RED,No,5483,MEDIUM SUV,GM,7600,8,82158,1543,Alloy
ADESA,GOLD,No,12290,MEDIUM SUV,CHRYSLER,10050,3,62233,1508,Alloy
ADESA,GREY,No,6045,MEDIUM,GM,7600,3,53642,837,Covers
ADESA,BLACK,No,6109,MEDIUM,CHRYSLER,5100,4,85894,1503,Covers
ADESA,SILVER,No,4103,MEDIUM,GM,5600,4,79708,803,Covers
ADESA,GREY,No,8055,MEDIUM SUV,GM,8950,4,63908,1215,Covers
ADESA,GOLD,No,1748,COMPACT,OTHER,3700,6,77552,569,Covers
ADESA,SILVER,No,11099,SMALL SUV,CHRYSLER,9900,2,71757,1506,Alloy
ADESA,BLUE,Yes,4231,MEDIUM SUV,OTHER,7300,7,74273,2157,Alloy
ADESA,WHITE,No,6691,LARGE TRUCK,FORD,7800,6,80444,853,Alloy
ADESA,SILVER,No,5664,COMPACT,FORD,5100,3,76898,1155,Covers
ADESA,WHITE,No,5301,MEDIUM,GM,7400,5,44437,482,Alloy
ADESA,WHITE,No,7857,LARGE,GM,7750,3,76365,1974,Alloy
ADESA,GOLD,No,4134,MEDIUM SUV,OTHER,5100,7,97902,1065,Alloy
ADESA,WHITE,No,10095,SPECIALTY,CHRYSLER,9600,3,40909,975,Covers
ADESA,SILVER,No,2908,COMPACT,FORD,4200,8,86341,1543,Alloy
ADESA,SILVER,No,13609,MEDIUM,FORD,8600,2,72090,1272,Alloy
ADESA,GREEN,No,3670,MEDIUM,GM,3900,6,107810,1290,Covers
ADESA,BLUE,No,7612,MEDIUM SUV,CHRYSLER,9750,5,66708,1118,Alloy
ADESA,BLUE,No,3298,VAN,FORD,5050,5,71585,1506,Covers
ADESA,MAROON,No,5587,MEDIUM SUV,GM,7350,7,84963,1543,Alloy
ADESA,SILVER,No,11215,SPECIALTY,CHRYSLER,9585,2,50610,1086,Covers
ADESA,GOLD,No,6185,MEDIUM,GM,6685,3,62212,1118,Covers
ADESA,RED,No,7191,SMALL SUV,FORD,8195,4,68820,825,Alloy
ADESA,GREEN,Yes,5554,MEDIUM SUV,GM,5775,6,88176,2452,unkwnWheel
ADESA,SILVER,Yes,2685,MEDIUM,CHRYSLER,4365,7,75513,1689,Covers
ADESA,SILVER,No,1734,COMPACT,GM,2830,7,74134,1455,Covers
ADESA,SILVER,Yes,4739,MEDIUM,CHRYSLER,6295,3,60059,1020,Covers
ADESA,BLUE,No,5882,MEDIUM,GM,5875,3,73383,803,Covers
ADESA,WHITE,Yes,7054,LARGE SUV,FORD,10665,6,69407,1515,unkwnWheel
ADESA,SILVER,No,2319,MEDIUM,FORD,4280,8,44717,993,Alloy
ADESA,BLACK,Yes,6276,LARGE SUV,GM,9335,6,91830,2218,unkwnWheel
ADESA,WHITE,Yes,2782,VAN,FORD,3100,6,92877,2506,unkwnWheel
ADESA,BLACK,Yes,9725,MEDIUM,OTHER,6985,2,72668,803,Covers
ADESA,SILVER,Yes,5958,COMPACT,OTHER,6075,2,75611,920,unkwnWheel
ADESA,BLUE,No,5414,MEDIUM,CHRYSLER,4980,4,86182,1503,Covers
ADESA,WHITE,No,5057,MEDIUM,CHRYSLER,5690,4,51023,920,Covers
ADESA,BLACK,No,4201,MEDIUM,GM,4790,6,81025,853,Covers
ADESA,RED,No,3906,COMPACT,GM,6200,5,65630,728,Covers
ADESA,GREEN,No,7967,MEDIUM,OTHER,10125,6,83703,594,Alloy
ADESA,GREY,No,3909,VAN,FORD,4790,6,74990,1506,Covers
ADESA,GOLD,No,5137,MEDIUM,OTHER,7210,4,68373,728,Covers
ADESA,SILVER,No,7348,MEDIUM,OTHER,8730,5,61538,533,Covers
ADESA,RED,No,5355,COMPACT,OTHER,4990,4,80135,594,Covers
ADESA,GREY,No,6965,MEDIUM,CHRYSLER,7210,3,60403,825,Alloy
ADESA,SILVER,Yes,9002,LARGE,OTHER,10110,5,81495,1243,unkwnWheel
ADESA,BLUE,No,3673,SPORTS,FORD,7210,8,34858,882,Alloy
